fNo;INCDTNUNIQUE;INCDTNO;IYR;IMO;RAILROAD;RR2;INCDTNO2;RR3;INCDTNO3;GXID;YEAR;MONTH;DAY;TIMEHR;TIMEMIN;AMPM;TYPE;CARS;CARSDMG;CARSHZD;EVACUATE;DIVISION;STATION;MILEPOST;STATE;TEMP;VISIBLTY;WEATHER;TRNSPD;TYPSPD;TRNNBR;TRNDIR;TONS;TYPEQ;EQATT;TRKNAME;TRKCLAS;TRKDNSTY;TYPTRK;RRCAR1;CARNBR1;POSITON1;LOADED1;RRCAR2;CARNBR2;POSITON2;LOADED2;HEADEND1;MIDMAN1;MIDREM1;RMAN1;RREM1;HEADEND2;MIDMAN2;MIDREM2;RMAN2;RREM2;LOADF1;LOADP1;EMPTYF1;EMPTYP1;CABOOSE1;LOADF2;LOADP2;EMPTYF2;EMPTYP2;CABOOSE2;EQPDMG;TRKDMG;CAUSE;CAUSE2;CASKLDRR;CASINJRR;CASKLD;CASINJ;ACCAUSE;ACCTRK;ACCTRKCL;HIGHSPD;ACCDMG;STCNTY;TOTINJ;TOTKLD;ENGRS;FIREMEN;CONDUCTR;BRAKEMEN;ENGHR;ENGMIN;CDTRHR;CDTRMIN;JOINTCD;REGION;TYPRR;RRDIV;METHOD;NARRLEN;YEAR4;RREMPKLD;RREMPINJ;PASSKLD;PASSINJ;OTHERKLD;OTHERINJ;COUNTY;CNTYCD;ALCOHOL;DRUG;PASSTRN;SSB1;SSB2;RCL;Latitude;Longitud;SIGNAL;MOPERA;SUBDIV;PC1;PC2;PC3;PC4;PC5
621;221214-621;221214;24;10;CSX;;;CSX;221214;;24;10;11;7;2;PM;5;0;0;0;0;;FLORENCE;293;45;61;3;1;22;E;L640;1;4036;1;Y;#2 MAIN;2;9.1;1;IPCX;225;14;N;;;0;;2;0;0;0;0;0;0;0;0;0;17;0;55;0;0;0;0;0;0;0;0;0;M410;;0;0;0;0;M410;1;2;22;16600;45C041;0;0;1;0;1;0;4;2;4;2;1;3;1;;;270;2024;0;0;0;0;0;0;FLORENCE;41;;;N;4575;2;0;34.19827;-79.762485;1;1;CHARLESTON;0.041145532;0.117220296;0.639210097;-0.438701869;0.116281687
622;221214-622;221214;24;10;CSX;;;CSX;221214;;24;10;11;7;2;PM;5;0;0;0;0;;FLORENCE;293;45;61;3;1;0;E;M400;1;12939;1;N;#1 MAIN;2;9.1;1;AOK;473307;125;Y;;;0;;2;0;0;0;0;0;0;0;0;0;72;0;92;0;0;0;0;0;0;0;16600;0;M410;;0;0;0;0;M410;1;2;22;16600;45C041;0;0;0;0;0;0;0;;0;;3;3;1;;;270;2024;0;0;0;0;0;0;FLORENCE;41;;;N;9854;0;0;34.19827;-79.762485;1;1;CHARLESTON;-0.854993006;2.004511825;-1.487798262;0.796255627;-2.427373484
623;221391-623;221391;24;10;CSX;;;CSX;221391;;24;10;28;7;4;AM;1;0;0;0;0;;FLORENCE;293;45;56;1;1;7;R;M491;2;5304;1;Y;YARD LEAD;1;0;2;NAHX;321421;16;Y;;;0;;2;0;0;0;0;0;0;0;0;0;33;0;23;0;0;4;0;0;0;0;219366;3854;T220;;0;0;0;0;T220;2;1;7;223220;45C041;0;0;1;0;1;0;8;34;8;34;1;3;1;;;88;2024;0;0;0;0;0;0;FLORENCE;41;;;N;3339;1;0;34.19827;-79.762485;2;5;CHARLESTON;-0.450548841;0.909096423;-0.458273191;-0.19177494;1.679109238
624;158082-624;158082;24;9;NS;;;NS;158082;;24;9;23;6;30;PM;1;0;0;0;0;;COLUMBIA;109;45;85;3;1;0;E;NOTR;4;0;6;Y;EY19;1;;2;DJNX;41282;1;Y;;;0;;2;0;0;0;0;0;0;0;0;0;10;0;0;0;0;10;0;0;0;0;21800;7878;H020;;0;0;0;0;H020;2;1;0;29678;45C079;0;0;1;0;1;0;3;30;3;30;1;3;1;;;471;2024;0;0;0;0;0;0;RICHLAND;79;0;0;N;661;2;0;33.985296;-81.039107;2;5;COASTAL;-0.711477195;-1.202951913;-0.571709797;0.044520235;0.408505995
625;220487-625;220487;24;9;CSX;;;CSX;220487;631973T;24;9;12;12;35;PM;7;0;0;0;0;;GOOSE CREEK;378.4;45;84;2;1;34;R;I138;1;4453;1;Y;SINGLE MAIN TRACK;4;34.1;1;CSXT;3347;1;Y;;;0;;2;0;0;0;0;0;0;0;0;0;13;0;22;0;0;0;0;0;0;0;69818;23622;M302;;0;0;0;0;M302;1;4;34;93440;45C015;0;0;1;0;1;0;2;50;2;50;1;3;1;;;132;2024;0;0;0;0;0;0;BERKELEY;15;;;N;5564;2;0;33.001082;-80.037715;1;1;CHARLESTON;0.453554689;-0.133782061;1.486322489;-0.671240726;-0.781708697
626;221956-626;221956;24;12;CSX;ATK;183458;CSX;221956;;24;12;3;11;57;AM;9;0;0;0;0;;LATTA;269.4;45;38;2;1;0;E;;1;0;9;N;#2 MAIN;4;34.3;1;CSXT;240420;1;N;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;100000;0;H993;;0;1;0;5;H993;1;4;25;100000;45C033;1;0;0;0;0;0;0;;0;;1;3;1;;;168;2024;0;1;0;0;0;0;DILLON;33;0;0;N;50;0;0;34.328367;-79.439587;1;2;SOUTH END;-0.193000831;-1.86488992;1.436730697;4.013566207;-0.368752166
627;180926-627;180926;24;6;ATK;;;ATK;180926;;24;6;26;4;30;AM;13;0;0;0;0;;EAST GREENWICH;171;44;50;4;1;7;E;TCA;3;0;A;Y;MAIN TRACK 1;8;0;1;TCA;A14618;1;N;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;22416;H702;H607;0;0;0;0;H702;1;8;7;22416;44C003;0;0;1;0;0;0;8;;0;;1;1;6;;;321;2024;0;0;0;0;0;0;KENT;3;;;N;43;1;0;41.650295;-71.454991;1;1;NHB (SHORELINE) LINE;-0.450313843;-1.096577992;-0.08581915;-0.208988553;0.794548768
628;PWR780924R-628;PWR780924R;24;4;PW;;;SVTX;SVT042524;;24;4;25;12;30;AM;1;0;0;0;0;;NORTH KINGSTOWN;164;44;39;4;2;8;R;WODA;1;3589;1;Y;DAVISVILLE;1;;2;EAMX;114578;17;N;;;0;;2;0;0;0;0;0;0;0;0;0;14;0;27;0;0;0;0;1;0;0;15504;0;T399;;0;0;0;0;T399;2;1;8;15504;44C009;0;0;1;0;1;1;4;30;3;30;1;1;3;;;508;2024;0;0;0;0;0;0;WASHINGTON;9;;;N;3371;1;0;41.604217;-71.448219;2;5;DAVISVILLE;-0.463893678;-0.410070506;-0.237657888;-0.081699119;0.238774278
629;SEPA012024-629;SEPA012024;24;1;SEPA;;;SEPA;SEPA012024;;24;1;20;12;42;AM;12;0;0;0;5;;FEASTERVILLE;20.5;42;20;4;6;68;R;366;1;0;D;Y;TRACK 2;4;2399;1;MU;437;1;Y;;;0;;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;75000;20291;M402;;0;0;0;0;M402;1;4;68;95291;42C017;0;0;1;0;1;0;9;;9;;1;2;3;;;642;2024;0;0;0;0;0;0;BUCKS;17;;;Y;340;1;0;40.143709;-74.973411;1;1;SYSTEM;2.215571326;1.448344073;4.654446375;-2.306620702;1.424435826
630;180941-630;180941;24;7;ATK;;;ATK;180941;;24;7;1;9;35;AM;9;0;0;0;0;;DOWNINGTOWN;33;42;77;2;1;45;E;641;4;0;2;Y;MAIN TRACK;5;0;1;AMT;665;1;N;;;0;;1;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;18462;0;M404;;0;0;0;0;M404;1;5;45;18462;42C029;0;0;1;0;1;1;5;15;5;15;1;2;6;;;205;2024;0;0;0;0;0;0;CHESTER;29;;;Y;495;1;0;39.999533;-75.720337;1;1;PH (HARRISBURG) LINE;1.427905194;0.130161623;3.39696626;-1.624965411;0.371665498
